Va,Vb,Vc,Ia,Ib,Ic,fault_type
-10.7521927,8459.102637,-14.40304938,1206.256154,65.27037959,2443.93021,PACTG
-10.83950045,8387.715499,-14.45087175,1183.362226,65.19417811,2427.338663,PACTG
-10.92558975,8315.571707,-14.49785739,1160.710054,65.1109172,2410.887093,PACTG
-11.01071553,8242.658186,-14.54370736,1138.023618,65.02118266,2394.297566,PACTG
-11.09514121,8168.976952,-14.58807619,1115.000318,64.92591135,2377.263853,PACTG
-11.17903245,8094.547582,-14.63071051,1091.432578,64.82593871,2359.574463,PACTG
-11.26239058,8019.401063,-14.67155087,1067.291378,64.72158609,2341.197709,PACTG
-11.34505049,7943.5679,-14.71075514,1042.738416,64.61249622,2322.294855,PACTG
-11.42674366,7867.066276,-14.74863345,1018.06217,64.49780354,2303.15612,PACTG
-11.50720085,7789.89611,-14.78552115,993.5634706,64.37655454,2284.085214,PACTG
-11.58625444,7712.041983,-14.82164102,969.4362957,64.2481777,2265.278585,PACTG
-11.66390042,7633.483701,-14.85701127,945.6913642,64.11278061,2246.747669,PACTG
-11.74029642,7554.209528,-14.89143648,922.1529428,63.97112062,2228.315163,PACTG
-11.81569681,7474.225623,-14.92458577,898.5300516,63.824254,2209.686764,PACTG
-11.89035045,7393.55698,-14.95612596,874.5335657,63.67303432,2190.569593,PACTG
-11.96440082,7312.239257,-14.98585579,849.9924419,63.5176993,2170.789938,PACTG
-12.03782762,7230.305208,-15.01378636,824.9226965,63.35774269,2150.363243,PACTG
-12.11045218,7147.772153,-15.04013528,799.5216727,63.19214471,2129.488424,PACTG
-12.18200482,7064.636605,-15.0652368,774.0899679,63.01986103,2108.468858,PACTG
-12.25222768,6980.878874,-15.08940496,748.9122465,62.84033379,2087.591733,PACTG
-12.32097334,6896.475624,-15.11280531,724.1445364,62.65377993,2067.014016,PACTG
-12.38826039,6811.414587,-15.13538755,699.752973,62.46111863,2046.700609,PACTG
-12.45426437,6725.704429,-15.15690587,675.5283806,62.263559,2026.439357,PACTG
-12.51924716,6639.374874,-15.17701875,651.1707989,62.06203422,2005.926793,PACTG
-12.58345223,6552.466747,-15.1954269,626.4101639,61.85675585,1984.890273,PACTG
-12.64700638,6465.016473,-15.21199347,601.1149524,61.64710308,1963.197627,PACTG
-12.70986685,6377.042271,-15.22679757,575.345442,61.4319022,1940.910538,PACTG
-12.77183471,6288.538614,-15.24010045,549.3303792,61.20997741,1918.260388,PACTG
-12.83263001,6199.481864,-15.25223793,523.3764305,60.9807207,1895.55634,PACTG
-12.89199954,6109.844699,-15.26348395,497.7466042,60.74440438,1873.062481,PACTG
-12.94981523,6019.612666,-15.27394006,472.556194,60.50208284,1850.893163,PACTG
-13.00612391,5928.795112,-15.28349568,447.7277662,60.25512649,1828.968328,PACTG
-13.06112844,5837.425212,-15.29187403,423.0231164,60.00459473,1807.046578,PACTG
-13.11510667,5745.548789,-15.29874487,398.1393844,59.75073722,1784.822645,PACTG
-13.16829982,5653.206901,-15.30385742,372.8309175,59.49286756,1762.050239,PACTG
-13.22081402,5560.420294,-15.30714012,347.0082145,59.22967597,1738.641137,PACTG
-13.27257472,5467.183038,-15.30872717,320.7744589,58.95983781,1714.700991,PACTG
-13.32335252,5373.468498,-15.30890252,294.385094,58.68264305,1690.487649,PACTG
-13.37285133,5279.24516,-15.30798416,268.1466288,58.39835532,1666.308754,PACTG
-13.4208242,5184.495116,-15.3061966,242.2951145,58.10812085,1642.399634,PACTG
-13.46717115,5089.226596,-15.30358211,216.9028317,57.81346196,1618.830284,PACTG
-13.51197914,4993.474593,-15.29998617,191.8504399,57.51558938,1595.478514,PACTG
-13.55548768,4897.289097,-15.29512159,166.8756721,57.21484636,1572.079904,PACTG
-13.59799267,4800.716141,-15.28868487,141.6790857,56.91054279,1548.334465,PACTG
-13.63972653,4703.780324,-15.28047742,116.0445999,56.60126921,1524.027335,PACTG
-13.68076233,4606.477007,-15.27048356,89.92666725,56.28555232,1499.115281,PACTG
-13.72098118,4508.77793,-15.25887457,63.46927232,55.96254728,1473.744554,PACTG
-13.76011663,4410.64785,-15.24593873,36.9492084,55.63245057,1448.193057,PACTG
-13.79785928,4312.064701,-15.23196573,10.66633358,55.29644108,1422.760068,PACTG
-13.83397979,4213.034014,-15.21713236,15.1753224,54.95616369,1397.647612,PACTG
